order_id,product_id,origin_port,destination_port,carrier,transportation_mode,tpt,weight,unit_quantity,estimated_distance_km,carbon_footprint_kg
1447306500.0,1699584,PORT04,PORT09,V44_3,Sea,4,11.82,3624,1400,0.24821999359130859
1447182500.0,1699562,PORT04,PORT09,V44_3,Sea,4,8.892328,4802,1400,0.18673889350891112
1447320800.0,1699562,PORT04,PORT09,V44_3,Sea,0,8.892328,4871,0,0.0
1447317000.0,1699562,PORT04,PORT09,V44_3,Sea,4,2.9641094,1768,1400,0.062246297836303706
1447320700.0,1699564,PORT04,PORT09,V44_3,Sea,0,8.9319315,10054,0,0.0
1447306600.0,1699564,PORT04,PORT09,V44_3,Sea,4,13.397897,14988,1400,0.28135583209991455
1447306600.0,1699564,PORT04,PORT09,V44_3,Sea,4,8.9319315,10079,1400,0.18757056140899656
1447400000.0,1699561,PORT04,PORT09,V44_3,Sea,4,10.895465,12802,1400,0.228804762840271
1447306500.0,1699561,PORT04,PORT09,V44_3,Sea,4,4.3581862,5308,1400,0.09152191114425659
1447306600.0,1699561,PORT04,PORT09,V44_3,Sea,4,8.7163725,10309,1400,0.18304382228851318
1447320800.0,1699561,PORT04,PORT09,V44_3,Sea,0,8.7163725,10235,0,0.0
1447400000.0,1699561,PORT04,PORT09,V44_3,Sea,4,8.7163725,10295,1400,0.18304382228851318
1447320800.0,1699793,PORT04,PORT09,V44_3,Sea,0,5.92,1910,0,0.0
1447418500.0,1700980,PORT04,PORT09,V44_3,Sea,0,5.76,2840,0,0.0
1447379300.0,1699792,PORT04,PORT09,V44_3,Sea,0,9.302254,12737,0,0.0
1447269500.0,1699792,PORT04,PORT09,V44_3,Sea,4,28.627665,42789,1400,0.6011809558868407
1447379300.0,1699792,PORT04,PORT09,V44_3,Sea,0,5.581352,7821,0,0.0
1447269500.0,1699792,PORT04,PORT09,V44_3,Sea,4,13.883607,20304,1400,0.29155574512481686
1447182500.0,1699792,PORT04,PORT09,V44_3,Sea,4,11.162704,15243,1400,0.23441679382324215
1447379200.0,1699792,PORT04,PORT09,V44_3,Sea,4,7.4418035,10279,1400,0.15627787256240844
1447344900.0,1699314,PORT04,PORT09,V44_3,Sea,0,6.4466667,1156,0,0.0
1447412900.0,1699314,PORT04,PORT09,V44_3,Sea,0,6.44,1233,0,0.0
1447313200.0,1699314,PORT04,PORT09,V44_3,Sea,0,6.4,1196,0,0.0
1447320700.0,1699315,PORT04,PORT09,V44_3,Sea,0,51.979767,19176,0,0.0
1447269500.0,1699315,PORT04,PORT09,V44_3,Sea,4,16.708504,5648,1400,0.35087857818603513
1447182500.0,1699312,PORT04,PORT09,V44_3,Sea,4,9.471312,3905,1400,0.19889754295349119
1447182500.0,1699795,PORT04,PORT09,V44_3,Sea,4,13.3313465,6662,1400,0.2799582767486572
1447410400.0,1699795,PORT04,PORT09,V44_3,Sea,0,30.662693,13116,0,0.0
1447306500.0,1699795,PORT04,PORT09,V44_3,Sea,4,3.5828366,1847,1400,0.0752395691871643
1447403800.0,1699795,PORT04,PORT09,V44_3,Sea,4,13.3313465,6694,1400,0.2799582767486572
1447392400.0,1699795,PORT04,PORT09,V44_3,Sea,0,7.1656733,3505,0,0.0
